cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pspwght,pweight,lrscale,prtvtcfr,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun
FR,ESS1-8e01,1.0,12.12.2018,155261,ESS6e02_4,6,2.4,4,1.09813263122301,0.761439358999051,2.702677846,5,66,3,4,1,2,4,4,5,3,4,4,2,4,4,2,5,4,1,4,3,5,4
FR,ESS1-8e01,1.0,12.12.2018,155262,ESS6e02_4,6,2.4,6,2.19626526244602,1.54559395817027,2.702677846,8,10,5,4,1,1,1,1,1,1,1,1,4,2,4,1,1,1,1,1,1,1,1
FR,ESS1-8e01,1.0,12.12.2018,155263,ESS6e02_4,6,2.4,10,1.09813263122301,0.772796979085137,2.702677846,9,10,1,6,1,6,1,5,1,1,1,1,6,1,6,1,6,1,1,1,1,4,5
FR,ESS1-8e01,1.0,12.12.2018,155264,ESS6e02_4,6,2.4,12,2.19626526244602,1.35685888347883,2.702677846,10,10,1,1,1,1,1,4,1,1,1,1,1,1,5,1,1,1,1,1,2,1,1
FR,ESS1-8e01,1.0,12.12.2018,155265,ESS6e02_4,6,2.4,13,1.09813263122301,0.589188678158573,2.702677846,77,66,4,6,1,6,1,1,1,1,1,2,4,1,6,1,5,1,1,1,1,1,1
FR,ESS1-8e01,1.0,12.12.2018,155266,ESS6e02_4,6,2.4,14,4,2.77357884593966,2.702677846,5,9,4,5,1,5,1,3,5,1,1,4,1,1,5,1,4,1,3,1,4,2,6
FR,ESS1-8e01,1.0,12.12.2018,155267,ESS6e02_4,6,2.4,17,1.09813263122301,0.678429441739414,2.702677846,5,14,1,6,1,1,1,1,8,1,1,1,5,1,1,1,2,1,1,1,1,1,1
FR,ESS1-8e01,1.0,12.12.2018,155268,ESS6e02_4,6,2.4,25,0.912932437919548,0.645659332428232,2.702677846,8,66,5,6,1,4,3,1,2,1,1,2,2,2,4,1,2,1,2,1,1,1,2
FR,ESS1-8e01,1.0,12.12.2018,155269,ESS6e02_4,6,2.4,26,0.456466218959774,0.322829666214116,2.702677846,2,66,3,5,1,5,3,1,5,3,3,1,2,3,5,3,3,3,5,3,3,3,2
FR,ESS1-8e01,1.0,12.12.2018,155270,ESS6e02_4,6,2.4,30,0.456466218959774,0.329106264618955,2.702677846,5,66,4,4,2,2,2,3,4,2,2,2,2,2,2,2,3,2,3,2,2,5,2
