cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pspwght,pweight,lrscale,prtvtehu,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun
HU,ESS1-8e01,1.0,12.12.2018,201554,ESS7e02_2,7,2.2,1001,1,1.18769644139711,0.497735512,5,66,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
HU,ESS1-8e01,1.0,12.12.2018,201555,ESS7e02_2,7,2.2,1004,1,0.698450877150084,0.497735512,77,77,3,3,2,3,3,2,4,3,2,3,2,2,3,3,5,3,2,1,2,3,3
HU,ESS1-8e01,1.0,12.12.2018,201556,ESS7e02_2,7,2.2,1005,1,1.09958314426322,0.497735512,77,66,3,5,2,2,1,3,5,3,3,2,2,2,3,3,4,4,3,1,2,3,3
HU,ESS1-8e01,1.0,12.12.2018,201557,ESS7e02_2,7,2.2,1006,1,1.09728402851575,0.497735512,10,1,1,3,1,1,2,2,4,1,2,1,2,1,2,2,2,1,2,1,1,1,1
HU,ESS1-8e01,1.0,12.12.2018,201558,ESS7e02_2,7,2.2,1008,1,0.957078673888136,0.497735512,7,1,3,4,3,3,2,4,5,3,4,2,3,2,3,2,5,2,2,2,2,2,2
HU,ESS1-8e01,1.0,12.12.2018,201559,ESS7e02_2,7,2.2,1010,1,1.70116843594863,0.497735512,88,66,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
HU,ESS1-8e01,1.0,12.12.2018,201560,ESS7e02_2,7,2.2,1011,1,0.70770303061171,0.497735512,0,77,2,3,1,2,1,4,1,2,1,2,1,2,3,2,3,2,3,1,1,2,2
HU,ESS1-8e01,1.0,12.12.2018,201561,ESS7e02_2,7,2.2,1012,1,0.70770303061171,0.497735512,8,1,1,6,1,8,1,1,8,1,1,1,1,1,8,1,6,1,8,1,1,1,8
HU,ESS1-8e01,1.0,12.12.2018,201562,ESS7e02_2,7,2.2,1015,1,0.867632721531403,0.497735512,5,77,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
HU,ESS1-8e01,1.0,12.12.2018,201563,ESS7e02_2,7,2.2,1018,1,1.8324889322562,0.497735512,5,3,2,6,2,3,2,2,6,3,2,3,1,2,6,3,1,6,6,3,2,2,1
HU,ESS1-8e01,1.0,12.12.2018,201564,ESS7e02_2,7,2.2,1019,1,1.09958314426322,0.497735512,8,1,1,4,1,2,1,1,1,1,1,1,1,1,3,1,4,4,3,1,1,1,1
HU,ESS1-8e01,1.0,12.12.2018,201565,ESS7e02_2,7,2.2,1023,1,1.09728402851575,0.497735512,7,66,4,4,3,4,1,5,3,3,2,2,3,3,5,1,5,1,3,1,3,2,3
HU,ESS1-8e01,1.0,12.12.2018,201566,ESS7e02_2,7,2.2,1024,1,0.957078673888136,0.497735512,5,66,1,5,2,5,1,2,5,2,3,3,5,2,6,2,5,2,6,6,1,1,2
HU,ESS1-8e01,1.0,12.12.2018,201567,ESS7e02_2,7,2.2,1026,1,0.708783783051947,0.497735512,88,1,2,4,2,1,1,2,6,2,1,3,1,1,3,3,4,2,3,2,2,1,1
HU,ESS1-8e01,1.0,12.12.2018,201568,ESS7e02_2,7,2.2,1027,1,1.09958314426322,0.497735512,3,66,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
HU,ESS1-8e01,1.0,12.12.2018,201569,ESS7e02_2,7,2.2,1028,1,1.70116843594863,0.497735512,3,66,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
HU,ESS1-8e01,1.0,12.12.2018,201570,ESS7e02_2,7,2.2,1030,1,1.80206722527228,0.497735512,6,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
HU,ESS1-8e01,1.0,12.12.2018,201571,ESS7e02_2,7,2.2,1032,1,1.47946242295992,0.497735512,5,66,5,3,1,3,1,1,2,3,2,1,1,2,3,1,6,2,2,1,1,1,1
HU,ESS1-8e01,1.0,12.12.2018,201572,ESS7e02_2,7,2.2,1033,1,1.70116843594863,0.497735512,5,1,4,4,1,4,1,4,2,4,3,3,3,2,5,1,6,1,1,1,1,1,1
HU,ESS1-8e01,1.0,12.12.2018,201573,ESS7e02_2,7,2.2,1034,1,1.09728402851575,0.497735512,5,77,6,6,1,6,1,6,1,1,1,4,4,1,6,1,6,1,1,1,1,1,1
HU,ESS1-8e01,1.0,12.12.2018,201574,ESS7e02_2,7,2.2,1036,1,1.09728402851575,0.497735512,0,66,6,6,2,5,2,5,2,2,2,5,3,1,1,2,6,2,2,2,2,1,1
HU,ESS1-8e01,1.0,12.12.2018,201575,ESS7e02_2,7,2.2,1041,1,1.46257437640464,0.497735512,7,1,5,4,1,1,1,1,6,1,6,1,1,6,6,6,1,1,6,1,1,1,1
HU,ESS1-8e01,1.0,12.12.2018,201576,ESS7e02_2,7,2.2,1042,1,0.698450877150084,0.497735512,5,77,3,6,1,3,1,5,5,3,1,2,2,2,3,1,5,2,1,1,2,2,2
HU,ESS1-8e01,1.0,12.12.2018,201577,ESS7e02_2,7,2.2,1043,1,1.09958314426322,0.497735512,6,1,2,3,1,1,1,2,3,3,3,2,2,3,3,4,4,3,2,1,3,3,2
HU,ESS1-8e01,1.0,12.12.2018,201578,ESS7e02_2,7,2.2,1044,1,1.09728402851575,0.497735512,7,1,1,4,1,1,1,3,5,3,1,1,1,4,4,1,5,1,5,1,1,2,1
HU,ESS1-8e01,1.0,12.12.2018,201579,ESS7e02_2,7,2.2,1045,1,1.70116843594863,0.497735512,7,1,2,2,2,1,2,6,4,6,5,2,1,5,2,1,6,5,1,2,3,1,4
HU,ESS1-8e01,1.0,12.12.2018,201580,ESS7e02_2,7,2.2,1048,1,1.09958314426322,0.497735512,9,1,3,3,4,2,3,2,4,3,3,4,2,3,4,2,2,2,3,3,2,2,4
HU,ESS1-8e01,1.0,12.12.2018,201581,ESS7e02_2,7,2.2,1049,1,1.09728402851575,0.497735512,7,1,2,4,1,3,1,2,4,2,2,2,1,2,3,1,4,1,3,1,1,1,1
HU,ESS1-8e01,1.0,12.12.2018,201582,ESS7e02_2,7,2.2,1050,1,0.698450877150084,0.497735512,10,2,1,3,2,1,1,1,4,2,2,2,1,1,2,1,2,2,3,1,1,1,2
HU,ESS1-8e01,1.0,12.12.2018,201583,ESS7e02_2,7,2.2,1051,1,0.708783783051947,0.497735512,7,1,4,5,2,1,1,2,2,2,2,2,1,2,1,1,5,2,2,2,2,2,2
HU,ESS1-8e01,1.0,12.12.2018,201584,ESS7e02_2,7,2.2,1058,1,0.698450877150084,0.497735512,5,66,6,6,1,1,1,6,1,1,1,1,1,1,6,1,6,1,1,1,1,1,1
HU,ESS1-8e01,1.0,12.12.2018,201585,ESS7e02_2,7,2.2,1063,1,0.70770303061171,0.497735512,6,77,2,6,1,1,1,5,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
HU,ESS1-8e01,1.0,12.12.2018,201586,ESS7e02_2,7,2.2,1071,1,1.14964060985772,0.497735512,5,77,5,4,1,1,1,4,1,1,2,2,2,2,2,2,4,2,2,2,2,2,2
HU,ESS1-8e01,1.0,12.12.2018,201587,ESS7e02_2,7,2.2,1074,1,0.708783783051947,0.497735512,88,66,2,2,3,3,2,4,4,3,2,2,2,3,3,2,1,2,3,1,1,2,4
