essround,idno,cntry,prtvede1,prtvtdfr,prtvtfhu,prtvtcit,prtvtdpl,imbgeco,imueclt,imwbcnt,
9,17,AT,,,,,,5,6,0,
9,31,AT,,,,,,6,5,5,
9,58,AT,,,,,,5,6,6,
9,69,AT,,,,,,2,1,2,
9,98,AT,,,,,,5,4,5,
9,145,AT,,,,,,3,7,5,
9,153,AT,,,,,,5,3,5,
9,179,AT,,,,,,6,7,5,
9,208,AT,,,,,,6,4,5,
9,215,AT,,,,,,2,2,2,
9,218,AT,,,,,,2,7,4,
9,296,AT,,,,,,10,10,10,
9,315,AT,,,,,,6,8,5,
9,330,AT,,,,,,3,3,4,
9,336,AT,,,,,,1,1,1,
9,408,AT,,,,,,7,4,5,
9,414,AT,,,,,,6,5,5,
9,418,AT,,,,,,7,8,7,
9,430,AT,,,,,,9,3,5,
9,456,AT,,,,,,4,2,88,
9,481,AT,,,,,,2,3,2,
9,491,AT,,,,,,3,5,0,
9,504,AT,,,,,,5,7,2,
9,546,AT,,,,,,5,1,2,
9,567,AT,,,,,,1,2,1,
9,569,AT,,,,,,5,4,7,
9,624,AT,,,,,,88,2,2,
9,641,AT,,,,,,88,5,4,
9,659,AT,,,,,,5,4,4,
9,672,AT,,,,,,3,3,2,
9,687,AT,,,,,,0,5,0,
9,708,AT,,,,,,6,4,5,
9,729,AT,,,,,,10,10,10,
9,734,AT,,,,,,4,6,5,
9,736,AT,,,,,,10,9,10,
9,827,AT,,,,,,7,5,5,
9,840,AT,,,,,,1,0,0,
9,846,AT,,,,,,6,4,2,
9,873,AT,,,,,,7,5,5,
9,908,AT,,,,,,6,3,2,
9,918,AT,,,,,,2,0,0,
9,964,AT,,,,,,8,6,5,
9,971,AT,,,,,,7,7,5,
9,972,AT,,,,,,6,5,5,
9,990,AT,,,,,,5,4,4,
9,998,AT,,,,,,8,6,4,
9,1042,AT,,,,,,6,4,5,
9,1045,AT,,,,,,8,8,8,
9,1068,AT,,,,,,3,5,6,
9,1086,AT,,,,,,7,6,6,
9,1098,AT,,,,,,4,4,3,
9,1120,AT,,,,,,2,2,5,
9,1152,AT,,,,,,7,6,6,
9,1153,AT,,,,,,4,4,4,
9,1212,AT,,,,,,88,2,2,
9,1227,AT,,,,,,5,5,88,
9,1229,AT,,,,,,6,7,6,
9,1238,AT,,,,,,8,10,7,
9,1244,AT,,,,,,1,1,1,
9,1266,AT,,,,,,3,4,4,
9,1283,AT,,,,,,5,4,3,
9,1300,AT,,,,,,2,4,5,
9,1307,AT,,,,,,2,1,1,
9,1324,AT,,,,,,88,4,88,
9,1330,AT,,,,,,7,7,5,
9,1341,AT,,,,,,7,4,6,
9,1356,AT,,,,,,2,2,3,
9,1365,AT,,,,,,8,8,7,
9,1366,AT,,,,,,8,6,7,
9,1368,AT,,,,,,7,8,5,
9,1383,AT,,,,,,88,88,4,
9,1424,AT,,,,,,6,5,5,
9,1465,AT,,,,,,7,5,5,
9,1478,AT,,,,,,7,7,3,
9,1482,AT,,,,,,4,4,4,
9,1499,AT,,,,,,6,5,5,
9,1523,AT,,,,,,5,5,5,
9,1563,AT,,,,,,5,8,7,
9,1570,AT,,,,,,7,7,5,
9,1596,AT,,,,,,6,4,3,
9,1604,AT,,,,,,5,5,5,
9,1657,AT,,,,,,4,2,2,
9,1704,AT,,,,,,6,5,4,
9,1725,AT,,,,,,0,0,0,
9,1734,AT,,,,,,0,2,1,
9,1754,AT,,,,,,3,2,1,
9,1757,AT,,,,,,0,0,0,
9,1778,AT,,,,,,10,10,10,
9,1799,AT,,,,,,7,4,4,
9,1816,AT,,,,,,3,2,3,
9,1819,AT,,,,,,4,0,0,
9,1878,AT,,,,,,0,5,0,
9,1882,AT,,,,,,7,7,7,
9,1884,AT,,,,,,7,5,6,
9,1899,AT,,,,,,5,7,5,
9,1981,AT,,,,,,5,4,2,
9,1984,AT,,,,,,7,6,5,
9,2004,AT,,,,,,0,0,0,
9,2016,AT,,,,,,5,4,5,
9,2024,AT,,,,,,3,4,2,
9,2027,AT,,,,,,6,8,8,
9,2066,AT,,,,,,7,9,6,
9,2101,AT,,,,,,2,2,3,
9,2127,AT,,,,,,8,8,8,
9,2186,AT,,,,,,0,2,2,
9,2188,AT,,,,,,6,5,4,
9,2201,AT,,,,,,0,4,0,
