idno,cntry,prtvede1,prtvede2,prtvtdfr,prtvtfhu,prtvtcit,prtvtdpl,lrscale,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun,
17,AT,,,,,,,9,2,2,2,2,2,2,2,3,1,2,1,2,2,2,2,2,2,2,3,2,3,
31,AT,,,,,,,3,2,4,2,4,1,4,4,2,2,2,2,1,4,1,4,1,3,1,2,1,2,
58,AT,,,,,,,3,2,4,3,2,2,3,3,3,3,3,2,3,3,3,3,2,2,2,2,2,3,
69,AT,,,,,,,4,3,6,2,6,3,2,2,1,6,2,1,2,5,2,2,2,6,1,2,3,2,
98,AT,,,,,,,5,3,4,3,3,2,4,4,3,4,3,3,3,4,3,5,2,3,2,3,3,3,
145,AT,,,,,,,88,2,5,1,1,1,3,2,1,2,3,1,1,1,1,6,1,1,1,1,2,3,
153,AT,,,,,,,5,2,6,1,4,2,4,2,3,3,2,2,2,6,2,6,1,3,2,1,1,3,
179,AT,,,,,,,3,4,6,1,2,2,3,4,1,1,1,1,1,3,2,3,1,2,1,1,1,1,
208,AT,,,,,,,3,2,3,2,2,3,2,3,3,4,2,2,3,3,2,2,3,3,3,3,3,2,
215,AT,,,,,,,7,3,4,4,4,1,6,3,3,3,4,3,2,4,2,6,3,4,1,1,4,4,
218,AT,,,,,,,4,4,4,3,5,3,4,2,5,1,5,6,2,5,1,6,6,1,1,3,1,1,
296,AT,,,,,,,2,4,3,6,6,6,4,6,5,6,6,6,6,3,6,5,5,6,4,5,6,6,
315,AT,,,,,,,3,1,6,1,6,6,5,7,2,4,5,1,2,6,6,5,6,6,2,1,5,5,
330,AT,,,,,,,5,3,1,7,1,1,2,8,3,5,2,8,1,2,1,5,3,6,1,2,1,1,
336,AT,,,,,,,4,3,6,2,6,2,3,5,3,6,3,2,2,4,2,4,2,5,5,3,2,1,
408,AT,,,,,,,10,3,6,1,1,1,4,2,2,3,4,2,2,2,1,4,2,2,2,1,2,2,
414,AT,,,,,,,4,4,5,3,2,1,5,2,1,2,3,1,1,4,1,6,1,2,1,1,3,5,
418,AT,,,,,,,1,2,2,1,3,5,5,3,1,2,2,3,1,3,2,4,5,3,1,1,2,3,
430,AT,,,,,,,6,2,4,2,2,2,3,2,3,4,2,1,2,3,2,2,2,2,2,2,2,1,
456,AT,,,,,,,5,1,4,2,2,2,3,8,2,2,2,1,1,3,1,3,2,2,2,2,3,2,
481,AT,,,,,,,3,1,5,1,1,1,1,5,1,2,2,2,2,2,2,4,3,2,2,1,1,1,
491,AT,,,,,,,7,3,3,3,3,1,3,3,2,3,2,2,2,3,1,3,2,2,2,2,4,2,
504,AT,,,,,,,5,2,5,2,2,2,3,3,3,2,2,2,2,2,2,4,2,2,2,1,2,2,
546,AT,,,,,,,5,3,4,2,4,1,4,2,3,2,3,4,2,4,2,5,2,4,2,2,1,3,
567,AT,,,,,,,5,2,6,3,3,2,3,3,4,3,2,2,3,5,2,3,3,2,5,2,3,3,
569,AT,,,,,,,6,1,4,2,2,1,3,4,2,3,2,1,2,2,1,3,1,2,1,1,2,2,
624,AT,,,,,,,3,4,5,3,5,3,3,4,3,3,4,1,5,4,3,4,2,2,4,2,4,3,
641,AT,,,,,,,5,3,4,2,2,2,3,3,3,2,3,2,2,3,2,4,2,3,1,2,2,3,
659,AT,,,,,,,3,2,4,3,2,2,3,4,2,3,2,1,2,2,3,3,3,2,1,2,3,2,
672,AT,,,,,,,5,5,4,1,2,2,4,2,2,3,4,3,2,2,2,5,1,2,1,1,1,2,
687,AT,,,,,,,5,2,3,2,2,3,1,4,3,3,1,1,2,3,3,2,3,4,3,2,4,1,
708,AT,,,,,,,7,1,2,3,1,3,2,3,3,3,1,1,2,1,3,2,2,2,2,2,2,2,
729,AT,,,,,,,9,3,2,2,3,4,4,3,3,2,3,3,2,2,3,4,3,3,2,2,3,3,
734,AT,,,,,,,8,4,3,3,3,2,4,2,6,6,3,3,2,2,4,4,3,3,3,2,2,2,
