essround,idno,cntry,prtvede1,prtvtdfr,prtvtfhu,prtvtcit,prtvtdpl,agea,domicil,eduyrs,mainact,hincsrca,hinctnta,hincfel,iincsrc,
9,17,AT,,,,,,43,4,12,66,1,3,3,66,
9,31,AT,,,,,,85,4,8,66,4,2,1,66,
9,58,AT,,,,,,31,3,11,66,1,8,2,1,
9,69,AT,,,,,,49,4,12,66,1,88,2,66,
9,98,AT,,,,,,67,4,12,66,4,5,2,4,
9,145,AT,,,,,,63,4,11,66,2,6,2,2,
9,153,AT,,,,,,71,4,8,66,4,1,2,66,
9,179,AT,,,,,,64,4,13,66,4,5,1,4,
9,208,AT,,,,,,56,4,12,66,1,7,2,1,
9,215,AT,,,,,,74,3,11,6,4,2,2,66,
9,218,AT,,,,,,28,3,13,66,1,77,7,1,
9,296,AT,,,,,,48,4,12,66,1,4,1,66,
9,315,AT,,,,,,59,4,12,66,4,9,1,4,
9,330,AT,,,,,,77,1,12,66,4,3,2,4,
9,336,AT,,,,,,87,3,8,66,4,77,1,66,
9,408,AT,,,,,,79,4,12,66,4,4,1,4,
9,414,AT,,,,,,62,4,12,66,4,2,1,66,
9,418,AT,,,,,,27,1,21,66,1,2,2,66,
9,430,AT,,,,,,59,4,11,66,1,1,2,4,
9,456,AT,,,,,,60,4,9,66,4,5,1,4,
9,481,AT,,,,,,49,3,18,66,1,88,2,1,
9,491,AT,,,,,,42,1,17,66,1,2,2,66,
9,504,AT,,,,,,59,1,12,66,4,3,1,66,
9,546,AT,,,,,,69,3,8,66,4,88,2,4,
9,567,AT,,,,,,30,4,12,66,1,77,2,1,
9,569,AT,,,,,,50,1,9,66,1,5,2,66,
9,624,AT,,,,,,43,4,13,66,6,7,3,66,
9,641,AT,,,,,,30,3,11,66,1,77,2,77,
9,659,AT,,,,,,70,1,15,66,8,9,4,66,
9,672,AT,,,,,,70,3,13,66,4,7,1,4,
9,687,AT,,,,,,46,1,15,66,5,6,3,66,
9,708,AT,,,,,,35,1,17,66,1,10,1,1,
9,729,AT,,,,,,36,1,15,66,1,7,1,1,
9,734,AT,,,,,,67,4,12,66,4,5,2,4,
9,736,AT,,,,,,23,4,12,1,1,77,2,1,
9,827,AT,,,,,,68,4,9,66,4,1,3,66,
9,840,AT,,,,,,72,4,12,66,4,5,1,4,
9,846,AT,,,,,,58,4,12,66,4,7,2,4,
9,873,AT,,,,,,73,3,18,66,4,77,1,4,
9,908,AT,,,,,,62,1,12,66,4,3,2,66,
9,918,AT,,,,,,50,5,14,66,1,9,1,1,
9,964,AT,,,,,,73,4,16,8,4,4,1,9,
9,971,AT,,,,,,80,3,12,6,4,2,2,66,
9,972,AT,,,,,,41,1,12,66,1,77,2,66,
9,990,AT,,,,,,39,3,13,66,1,8,1,1,
9,998,AT,,,,,,38,1,8,66,1,9,2,1,
9,1042,AT,,,,,,50,4,12,66,1,6,1,1,
9,1045,AT,,,,,,47,3,16,66,2,9,1,2,
9,1068,AT,,,,,,60,1,9,66,1,2,3,1,
9,1086,AT,,,,,,39,1,18,66,1,9,1,1,
9,1098,AT,,,,,,31,4,12,1,1,8,2,1,
9,1120,AT,,,,,,71,3,12,66,4,5,1,66,
9,1152,AT,,,,,,50,2,16,66,1,3,3,66,
9,1153,AT,,,,,,39,4,12,66,77,77,2,1,
9,1212,AT,,,,,,76,4,8,66,5,1,2,66,
9,1227,AT,,,,,,22,1,12,66,1,3,2,1,
9,1229,AT,,,,,,30,1,19,1,1,3,1,66,
9,1238,AT,,,,,,46,4,16,66,1,77,1,1,
9,1244,AT,,,,,,50,4,9,66,1,77,2,1,
9,1266,AT,,,,,,46,4,9,66,1,10,1,1,
9,1283,AT,,,,,,40,4,13,66,1,77,2,1,
9,1300,AT,,,,,,48,3,12,66,1,6,2,1,
9,1307,AT,,,,,,60,3,12,1,2,77,1,2,
9,1324,AT,,,,,,73,4,9,66,4,77,3,66,
9,1330,AT,,,,,,54,1,11,66,1,5,2,1,
9,1341,AT,,,,,,25,4,13,2,1,6,2,1,
9,1356,AT,,,,,,78,4,8,66,4,2,2,9,
9,1365,AT,,,,,,57,4,9,66,1,88,2,1,
9,1366,AT,,,,,,41,1,21,66,1,10,1,66,
9,1368,AT,,,,,,76,1,11,66,4,88,2,66,
9,1383,AT,,,,,,18,4,12,66,8,1,3,9,
9,1424,AT,,,,,,32,4,15,1,1,5,1,66,
9,1465,AT,,,,,,78,4,13,66,4,77,2,4,
9,1478,AT,,,,,,29,2,12,66,1,7,2,1,
9,1482,AT,,,,,,54,4,12,66,4,1,3,66,
9,1499,AT,,,,,,70,3,11,66,4,4,3,4,
9,1523,AT,,,,,,57,4,13,66,1,9,1,1,
9,1563,AT,,,,,,78,2,12,6,4,7,1,9,
9,1570,AT,,,,,,42,3,20,66,1,77,1,1,
9,1596,AT,,,,,,73,4,11,66,4,3,3,66,
9,1604,AT,,,,,,60,4,5,66,4,2,1,4,
9,1657,AT,,,,,,39,4,11,1,1,9,2,2,
9,1704,AT,,,,,,72,4,11,66,4,5,3,4,
9,1725,AT,,,,,,65,3,12,66,1,5,2,1,
9,1734,AT,,,,,,26,3,13,66,1,6,2,1,
9,1754,AT,,,,,,60,4,12,66,4,8,1,1,
9,1757,AT,,,,,,51,2,13,66,1,9,2,1,
9,1778,AT,,,,,,43,3,16,8,1,2,2,1,
9,1799,AT,,,,,,60,1,11,66,1,3,2,66,
9,1816,AT,,,,,,36,4,13,1,1,8,1,1,
9,1819,AT,,,,,,55,4,12,66,1,4,2,1,
9,1878,AT,,,,,,50,5,12,66,1,77,2,66,
9,1882,AT,,,,,,27,4,13,66,1,4,1,66,
9,1884,AT,,,,,,63,1,15,6,4,9,1,4,
9,1899,AT,,,,,,49,1,13,66,1,6,1,1,
9,1981,AT,,,,,,63,4,11,66,4,4,2,4,
9,1984,AT,,,,,,46,4,13,66,1,77,1,1,
9,2004,AT,,,,,,63,3,9,66,4,1,3,66,
9,2016,AT,,,,,,69,3,12,66,4,5,1,4,
9,2024,AT,,,,,,36,3,13,66,1,77,2,1,
9,2027,AT,,,,,,32,1,18,66,1,4,2,66,
9,2066,AT,,,,,,56,1,12,1,1,7,1,1,
9,2101,AT,,,,,,24,3,12,66,1,3,1,66,
9,2127,AT,,,,,,46,4,17,66,1,88,1,1,
9,2186,AT,,,,,,59,4,10,66,5,9,2,66,
9,2188,AT,,,,,,59,3,13,66,1,6,2,66,
9,2201,AT,,,,,,50,3,14,66,2,77,2,66,
9,2204,AT,,,,,,69,1,14,66,4,5,1,4,
9,2213,AT,,,,,,75,4,12,66,4,2,2,66,
9,2219,AT,,,,,,74,2,11,66,1,9,2,4,
9,2221,AT,,,,,,79,1,8,66,4,2,2,66,
9,2236,AT,,,,,,26,4,12,66,1,2,2,66,
9,2241,AT,,,,,,34,4,16,8,1,6,1,6,
9,2254,AT,,,,,,70,2,14,66,4,77,2,4,
9,2256,AT,,,,,,36,4,12,66,1,5,3,1,
9,2263,AT,,,,,,53,3,15,66,1,6,3,1,
9,2286,AT,,,,,,50,4,12,66,1,7,2,1,
9,2301,AT,,,,,,44,1,20,66,5,1,2,66,
9,2328,AT,,,,,,52,1,15,66,1,8,1,1,
9,2375,AT,,,,,,33,4,11,66,2,77,1,2,
9,2388,AT,,,,,,39,4,13,66,1,8,2,1,
9,2406,AT,,,,,,45,3,12,66,1,88,2,1,
9,2426,AT,,,,,,61,3,14,66,4,7,1,4,
9,2447,AT,,,,,,34,2,11,66,1,7,2,1,
9,2492,AT,,,,,,31,2,22,66,1,3,1,1,
9,2512,AT,,,,,,62,1,13,1,5,77,3,66,
9,2521,AT,,,,,,62,4,9,66,1,77,1,1,
9,2530,AT,,,,,,35,4,12,66,1,9,1,1,
9,2556,AT,,,,,,74,1,11,66,4,4,1,4,
9,2559,AT,,,,,,35,3,11,66,1,77,2,1,
9,2568,AT,,,,,,61,4,15,66,4,3,2,4,
9,2574,AT,,,,,,26,3,11,66,1,3,1,66,
9,2576,AT,,,,,,45,1,18,66,1,5,1,66,
9,2580,AT,,,,,,49,1,21,66,1,4,2,66,
9,2614,AT,,,,,,86,4,8,8,4,2,1,66,
9,2618,AT,,,,,,23,1,9,66,1,4,3,9,
9,2646,AT,,,,,,68,4,11,66,4,1,3,66,
9,2674,AT,,,,,,67,4,13,66,4,8,1,4,
9,2690,AT,,,,,,69,1,12,66,4,3,1,66,
9,2699,AT,,,,,,41,1,12,66,1,8,1,5,
9,2728,AT,,,,,,18,4,11,66,1,6,2,9,
9,2766,AT,,,,,,42,2,17,66,1,7,2,1,
9,2769,AT,,,,,,21,3,14,66,1,9,2,9,
9,2813,AT,,,,,,75,3,10,66,4,6,2,4,
9,2848,AT,,,,,,51,5,14,66,8,88,2,1,
9,2856,AT,,,,,,48,1,24,66,1,7,1,1,
9,2878,AT,,,,,,71,4,8,66,8,1,2,66,
9,2923,AT,,,,,,77,1,12,66,4,3,2,66,
9,2936,AT,,,,,,40,1,12,66,1,5,1,66,
9,2942,AT,,,,,,33,1,11,66,1,5,1,1,
9,2967,AT,,,,,,60,1,15,66,4,4,4,4,
9,2991,AT,,,,,,78,2,23,66,4,6,1,66,
9,3038,AT,,,,,,26,3,15,66,1,9,1,1,
9,3052,AT,,,,,,40,1,13,66,1,8,2,5,
9,3061,AT,,,,,,47,2,9,66,4,4,1,66,
9,3097,AT,,,,,,34,4,77,66,1,7,2,1,
9,3099,AT,,,,,,65,4,18,66,4,5,1,66,
9,3168,AT,,,,,,49,3,13,66,1,7,2,1,
9,3176,AT,,,,,,58,3,12,66,1,2,1,66,
9,3178,AT,,,,,,38,1,16,66,1,8,1,1,
9,3195,AT,,,,,,17,3,11,66,1,10,1,1,
9,3201,AT,,,,,,24,3,14,66,1,3,2,66,
9,3220,AT,,,,,,28,3,12,66,1,3,3,1,
9,3240,AT,,,,,,60,3,12,66,4,3,3,66,
9,3246,AT,,,,,,79,1,11,66,4,2,2,66,
9,3253,AT,,,,,,50,4,24,66,1,5,2,1,
9,3280,AT,,,,,,61,3,13,66,4,5,2,4,
9,3295,AT,,,,,,82,4,8,66,4,4,2,4,
9,3344,AT,,,,,,18,4,12,66,1,5,2,1,
9,3347,AT,,,,,,65,1,12,66,1,4,3,4,
9,3348,AT,,,,,,30,1,12,66,1,77,2,66,
9,3379,AT,,,,,,55,1,14,66,5,7,2,5,
9,3452,AT,,,,,,56,4,12,66,1,2,2,66,
9,3508,AT,,,,,,34,1,13,66,1,4,2,66,
9,3527,AT,,,,,,46,3,21,66,1,4,1,1,
9,3532,AT,,,,,,45,3,11,66,1,88,2,1,
9,3554,AT,,,,,,57,4,12,66,1,6,1,1,
9,3557,AT,,,,,,45,4,8,66,3,88,2,4,
9,3581,AT,,,,,,42,4,12,66,1,10,2,1,
9,3603,AT,,,,,,90,4,9,66,2,5,1,9,
9,3608,AT,,,,,,78,5,8,66,8,88,2,9,
9,3637,AT,,,,,,77,4,88,66,4,4,2,66,
9,3645,AT,,,,,,67,4,12,66,4,6,2,4,
9,3653,AT,,,,,,62,3,16,66,4,77,2,4,
9,3724,AT,,,,,,67,2,9,66,4,3,2,66,
9,3726,AT,,,,,,36,5,13,66,1,7,2,6,
9,3736,AT,,,,,,50,2,13,66,2,9,1,2,
9,3742,AT,,,,,,52,3,14,66,1,8,2,1,
9,3760,AT,,,,,,16,4,9,66,1,77,1,9,
9,3884,AT,,,,,,74,1,9,66,4,3,2,4,
9,3893,AT,,,,,,38,3,11,66,1,3,2,66,
9,3895,AT,,,,,,44,4,11,66,1,7,2,1,
9,3927,AT,,,,,,83,3,8,66,4,2,2,4,
9,3937,AT,,,,,,66,1,10,66,4,1,3,66,
9,3948,AT,,,,,,59,4,12,66,1,5,2,1,
9,3955,AT,,,,,,71,5,8,66,4,6,1,4,
9,3959,AT,,,,,,39,4,12,66,2,5,3,2,
9,4022,AT,,,,,,21,3,14,66,8,1,1,66,
9,4067,AT,,,,,,71,1,11,66,4,1,2,66,
9,4083,AT,,,,,,38,4,11,66,1,8,2,1,
9,4105,AT,,,,,,24,1,12,66,1,5,2,1,
9,4108,AT,,,,,,73,3,11,66,4,6,2,4,
9,4117,AT,,,,,,66,2,20,1,4,9,2,4,
9,4128,AT,,,,,,25,4,19,2,1,5,2,66,
9,4138,AT,,,,,,23,4,9,66,5,2,3,66,
9,4199,AT,,,,,,70,1,22,66,4,5,3,4,
9,4252,AT,,,,,,47,4,77,66,77,77,7,77,
9,4259,AT,,,,,,25,4,13,1,1,4,2,66,
9,4289,AT,,,,,,68,1,12,66,4,2,1,66,
9,4308,AT,,,,,,65,4,12,66,4,6,2,4,
9,4323,AT,,,,,,58,3,21,66,1,8,1,1,
9,4325,AT,,,,,,55,3,13,66,4,4,2,9,
9,4330,AT,,,,,,61,3,11,66,4,5,3,4,
9,4337,AT,,,,,,48,4,11,66,1,2,2,66,
9,4359,AT,,,,,,41,4,88,66,77,77,2,77,
9,4363,AT,,,,,,60,2,13,66,4,6,1,66,
9,4385,AT,,,,,,70,3,8,66,4,9,1,4,
9,4403,AT,,,,,,72,2,12,66,4,3,2,66,
9,4434,AT,,,,,,26,1,12,66,1,5,2,1,
9,4447,AT,,,,,,77,3,8,66,4,5,2,66,
9,4475,AT,,,,,,63,4,9,66,4,1,3,66,
9,4493,AT,,,,,,52,3,13,66,2,77,1,66,
9,4504,AT,,,,,,62,1,12,66,4,2,2,66,
9,4534,AT,,,,,,24,1,18,66,6,77,2,8,
9,4536,AT,,,,,,29,1,12,66,1,5,2,1,
9,4539,AT,,,,,,70,1,9,6,4,4,2,66,
9,4559,AT,,,,,,65,2,11,66,4,8,2,4,
9,4560,AT,,,,,,46,4,12,66,1,77,3,66,
9,4565,AT,,,,,,31,3,12,66,1,6,2,1,
9,4607,AT,,,,,,44,4,12,66,1,4,1,1,
9,4637,AT,,,,,,16,4,10,66,1,2,8,9,
9,4657,AT,,,,,,75,1,17,66,4,9,1,4,
9,4699,AT,,,,,,76,4,9,66,4,4,1,66,
9,4709,AT,,,,,,49,4,12,66,1,7,2,1,
9,4744,AT,,,,,,42,1,12,66,1,8,2,1,
9,4770,AT,,,,,,20,3,12,66,1,2,2,66,
9,4773,AT,,,,,,26,1,12,66,1,7,2,6,
9,4790,AT,,,,,,63,3,12,66,4,5,1,66,
9,4791,AT,,,,,,55,3,12,66,1,4,1,66,
9,4793,AT,,,,,,75,1,10,66,4,3,2,66,
9,4798,AT,,,,,,38,1,13,66,1,7,1,1,
9,4878,AT,,,,,,51,4,12,1,1,3,2,1,
9,4899,AT,,,,,,43,3,12,66,5,3,4,66,
9,4900,AT,,,,,,55,4,12,66,1,8,2,1,
9,4901,AT,,,,,,21,3,12,66,6,1,2,66,
9,4979,AT,,,,,,17,4,10,66,1,2,8,9,
9,4987,AT,,,,,,40,2,12,66,1,8,1,1,
9,4998,AT,,,,,,51,1,23,66,1,7,1,66,
9,5004,AT,,,,,,56,4,22,66,2,2,2,66,
9,5035,AT,,,,,,26,4,12,66,1,2,1,66,
9,5041,AT,,,,,,54,1,12,66,4,5,3,5,
9,5048,AT,,,,,,48,5,12,66,1,9,1,2,
9,5057,AT,,,,,,69,1,17,66,4,1,2,66,
9,5070,AT,,,,,,62,4,12,66,1,6,1,1,
9,5096,AT,,,,,,39,5,22,66,1,3,2,1,
9,5110,AT,,,,,,52,3,12,66,1,2,3,66,
9,5114,AT,,,,,,70,3,12,66,4,4,2,99,
9,5129,AT,,,,,,75,4,8,66,4,1,4,66,
9,5159,AT,,,,,,86,1,10,66,4,4,2,4,
9,5169,AT,,,,,,33,5,13,66,1,88,2,1,
9,5209,AT,,,,,,35,4,14,66,1,5,2,66,
9,5211,AT,,,,,,29,4,14,66,1,77,2,66,
9,5213,AT,,,,,,999,4,9,1,1,77,7,1,
9,5215,AT,,,,,,26,1,16,66,6,5,2,8,
9,5221,AT,,,,,,24,4,12,66,1,6,2,1,
9,5225,AT,,,,,,53,4,15,4,5,6,3,66,
9,5244,AT,,,,,,55,5,12,66,1,5,3,1,
9,5251,AT,,,,,,54,4,11,66,1,10,1,1,
9,5279,AT,,,,,,77,5,8,66,4,4,2,4,
