essround,idno,cntry,nwspol,prtvede1,prtvtdfr,prtvtfhu,prtvtcit,prtvtdpl,stfeco,stfedu,stfhlth,
9,17,AT,60,,,,,,8,6,4,
9,31,AT,60,,,,,,5,8,8,
9,58,AT,60,,,,,,6,8,8,
9,69,AT,20,,,,,,6,6,6,
9,98,AT,10,,,,,,8,7,8,
9,145,AT,45,,,,,,6,7,8,
9,153,AT,30,,,,,,7,7,10,
9,179,AT,45,,,,,,9,6,7,
9,208,AT,60,,,,,,1,9,1,
9,215,AT,30,,,,,,7,5,5,
9,218,AT,15,,,,,,7,8,7,
9,296,AT,120,,,,,,10,9,10,
9,315,AT,60,,,,,,5,4,6,
9,330,AT,90,,,,,,6,5,8,
9,336,AT,60,,,,,,5,6,7,
9,408,AT,60,,,,,,9,4,8,
9,414,AT,60,,,,,,9,9,9,
9,418,AT,60,,,,,,7,6,8,
9,430,AT,10,,,,,,9,7,9,
9,456,AT,30,,,,,,5,7,8,
9,481,AT,30,,,,,,6,10,3,
9,491,AT,30,,,,,,7,9,9,
9,504,AT,120,,,,,,8,8,10,
9,546,AT,90,,,,,,6,7,6,
9,567,AT,10,,,,,,9,8,10,
9,569,AT,10,,,,,,6,5,8,
9,624,AT,10,,,,,,88,9,9,
9,641,AT,60,,,,,,88,7,8,
9,659,AT,10,,,,,,5,5,4,
9,672,AT,60,,,,,,7,8,9,
9,687,AT,180,,,,,,3,5,6,
9,708,AT,10,,,,,,8,5,4,
9,729,AT,20,,,,,,8,9,8,
9,734,AT,120,,,,,,9,9,9,
9,736,AT,0,,,,,,10,10,10,
9,827,AT,10,,,,,,6,9,8,
9,840,AT,75,,,,,,8,1,7,
9,846,AT,20,,,,,,6,7,7,
9,873,AT,75,,,,,,8,6,6,
9,908,AT,35,,,,,,6,7,6,
9,918,AT,60,,,,,,7,2,5,
9,964,AT,60,,,,,,9,6,7,
9,971,AT,120,,,,,,7,8,8,
9,972,AT,15,,,,,,6,10,8,
9,990,AT,10,,,,,,6,6,7,
9,998,AT,15,,,,,,8,9,9,
9,1042,AT,0,,,,,,7,7,8,
9,1045,AT,25,,,,,,7,7,7,
9,1068,AT,30,,,,,,3,2,3,
9,1086,AT,15,,,,,,7,8,9,
9,1098,AT,10,,,,,,8,9,10,
9,1120,AT,60,,,,,,8,3,10,
9,1152,AT,60,,,,,,7,8,9,
9,1153,AT,45,,,,,,7,8,8,
9,1212,AT,30,,,,,,6,7,8,
