round,idno,country,party_de,party_fr,party_hu,party_it,party_pl,age,urban,education(yy),activity,source_inc_h,income,satisfaction_inc,source_inc_p,age_group
9,1,DE,4,0,0,0,0,49,3,17,66,2,10,2,2,25-65
9,63,DE,66,0,0,0,0,24,3,15,66,1,4,3,66,18-24
9,108,DE,66,0,0,0,0,24,3,14,4,5,9,3,5,18-24
9,117,DE,1,0,0,0,0,57,3,12,6,4,3,1,66,25-65
9,134,DE,1,0,0,0,0,40,3,18,66,1,7,2,1,25-65
9,147,DE,1,0,0,0,0,21,1,14,66,6,88,2,8,18-24
9,148,DE,4,0,0,0,0,28,4,19,8,2,6,1,2,25-65
9,196,DE,66,0,0,0,0,50,3,13,66,5,88,3,5,25-65
9,200,DE,4,0,0,0,0,48,3,20,66,1,10,1,1,25-65
9,204,DE,3,0,0,0,0,27,2,19,2,1,7,2,8,25-65
9,209,DE,66,0,0,0,0,46,3,14,66,1,4,2,1,25-65
9,221,DE,66,0,0,0,0,20,3,3,66,1,1,2,1,18-24
9,239,DE,6,0,0,0,0,52,3,17,66,1,10,2,1,25-65
9,261,DE,4,0,0,0,0,52,4,15,66,1,3,4,66,25-65
9,267,DE,1,0,0,0,0,49,4,15,66,1,3,1,66,25-65
9,288,DE,2,0,0,0,0,59,4,13,66,1,3,1,66,25-65
9,311,DE,1,0,0,0,0,19,5,15,66,1,3,1,1,18-24
9,346,DE,66,0,0,0,0,22,1,8,66,1,1,4,1,18-24
9,363,DE,66,0,0,0,0,24,3,7,66,1,1,3,66,18-24
9,403,DE,66,0,0,0,0,63,3,9,6,4,7,1,4,25-65
9,424,DE,77,0,0,0,0,59,1,10,66,77,77,2,66,25-65
9,428,DE,2,0,0,0,0,67,5,25,66,4,8,1,4,66+
9,435,DE,1,0,0,0,0,29,3,14,66,1,6,2,1,25-65
9,443,DE,1,0,0,0,0,46,4,13,8,1,6,2,1,25-65
9,451,DE,77,0,0,0,0,999,2,13,66,1,4,2,1,66+
9,461,DE,4,0,0,0,0,50,4,12,8,1,9,2,1,25-65
9,466,DE,1,0,0,0,0,87,4,8,8,2,88,2,4,66+
9,507,DE,66,0,0,0,0,21,4,15,2,1,77,2,1,18-24
9,511,DE,2,0,0,0,0,65,4,12,66,4,4,2,4,25-65
9,532,DE,1,0,0,0,0,19,3,12,66,1,88,1,9,18-24
9,538,DE,1,0,0,0,0,51,4,13,66,1,10,1,1,25-65
9,568,DE,1,0,0,0,0,45,3,13,66,1,7,2,1,25-65
9,583,DE,2,0,0,0,0,78,3,11,6,4,4,1,66,66+
9,615,DE,2,0,0,0,0,67,3,12,66,4,2,3,66,66+
9,657,DE,1,0,0,0,0,70,2,12,8,4,4,1,4,66+
9,689,DE,4,0,0,0,0,46,3,17,1,1,88,1,1,25-65
9,707,DE,66,0,0,0,0,17,2,11,66,1,2,2,9,18-24
9,721,DE,66,0,0,0,0,90,4,10,66,4,77,2,66,66+
9,779,DE,3,0,0,0,0,80,4,16,66,4,3,2,66,66+
9,784,DE,1,0,0,0,0,78,4,11,66,4,2,2,66,66+
9,820,DE,2,0,0,0,0,36,3,19,66,1,6,2,1,25-65
9,824,DE,4,0,0,0,0,20,3,12,66,1,88,1,6,18-24
9,828,DE,1,0,0,0,0,55,3,14,66,1,7,1,1,25-65
9,848,DE,1,0,0,0,0,42,3,16,1,1,7,2,1,25-65
9,865,DE,2,0,0,0,0,78,3,21,66,4,6,1,66,66+
9,874,DE,66,0,0,0,0,21,3,11,66,1,2,2,1,18-24
9,877,DE,1,0,0,0,0,67,3,11,66,4,1,3,66,66+
9,878,DE,1,0,0,0,0,72,3,14,8,4,6,2,4,66+
9,899,DE,3,0,0,0,0,25,1,17,2,1,1,2,66,25-65
9,924,DE,5,0,0,0,0,43,2,14,66,1,4,1,66,25-65
9,939,DE,66,0,0,0,0,18,3,13,66,1,88,1,9,18-24
9,940,DE,3,0,0,0,0,75,4,13,66,1,4,1,1,66+
9,946,DE,9,0,0,0,0,35,4,17,1,3,88,2,1,25-65
9,947,DE,66,0,0,0,0,16,3,11,66,1,88,1,1,18-24
9,977,DE,77,0,0,0,0,72,1,12,66,4,77,1,4,66+
9,982,DE,5,0,0,0,0,29,1,21,66,1,7,1,1,25-65
9,1012,DE,1,0,0,0,0,23,4,16,66,1,10,2,1,18-24
9,1018,DE,66,0,0,0,0,21,3,14,66,5,1,2,5,18-24
9,1043,DE,4,0,0,0,0,37,2,21,1,1,5,1,1,25-65
9,1074,DE,3,0,0,0,0,59,4,17,66,1,9,1,1,25-65
9,1076,DE,4,0,0,0,0,47,4,14,1,1,9,1,1,25-65
9,1100,DE,66,0,0,0,0,18,3,13,2,1,10,1,1,18-24
