country,round,idno,t_parlament,t_politicians,t_eu_par,eu_further
DE,1,101114,0,0,7,
DE,1,101126,4,4,5,
DE,1,101304,6,2,5,
DE,1,101322,3,1,5,
DE,1,101405,3,4,7,
DE,1,101417,7,7,7,
DE,1,101429,7,4,10,
DE,1,101512,6,3,6,
DE,1,101601,7,2,8,
DE,1,101625,4,4,6,
DE,1,101631,0,3,3,
DE,1,102120,6,7,6,
DE,1,102203,8,7,5,
DE,1,102209,6,4,3,
DE,1,102227,6,6,5,
DE,1,102233,0,2,2,
DE,1,102536,5,5,6,
DE,1,102601,5,5,5,
DE,1,102631,7,3,5,
DE,1,103205,5,5,5,
DE,1,103211,3,2,3,
DE,1,103306,3,2,2,
DE,1,103324,8,10,10,
DE,1,103330,7,6,6,
DE,1,103431,6,4,7,
DE,1,103514,4,2,2,
DE,1,103603,8,0,5,
DE,1,103615,8,5,5,
DE,1,104106,7,8,9,
DE,1,104130,7,6,7,
DE,1,104201,2,2,7,
DE,1,104207,3,0,4,
DE,1,104219,9,6,9,
DE,1,104225,0,0,0,
DE,1,104231,5,4,4,
DE,1,104314,7,5,7,
DE,1,104320,7,6,6,
DE,1,104326,4,5,5,
DE,1,104332,7,5,5,
DE,1,104403,5,4,9,
DE,1,104409,5,3,5,
DE,1,104415,6,3,5,
DE,1,104433,2,2,3,
DE,1,104504,6,4,3,
DE,1,104516,6,5,6,
DE,1,104522,7,6,7,
DE,1,104528,3,3,4,
DE,1,104611,7,5,8,
DE,1,104617,7,7,7,
DE,1,104629,5,5,5,
DE,1,105114,5,4,0,
DE,1,105132,3,3,0,
DE,1,105304,5,4,1,
DE,1,105310,5,5,5,
DE,1,105316,6,2,4,
DE,1,105322,3,4,2,
DE,1,105334,6,7,4,
DE,1,105405,6,5,6,
DE,1,105429,5,5,8,
DE,1,105524,6,5,5,
DE,1,105530,3,3,3,
DE,1,105601,6,4,5,
DE,1,105625,5,5,8,
DE,1,105631,7,4,4,
DE,1,106128,5,4,5,
DE,1,106217,0,0,0,
DE,1,106223,8,5,8,
DE,1,106235,3,4,6,
DE,1,106306,2,2,5,
DE,1,106324,3,2,2,
DE,1,106401,7,8,8,
DE,1,106407,4,4,6,
DE,1,106425,5,8,4,
DE,1,106508,5,5,6,
DE,1,106520,4,4,6,
DE,1,106627,7,7,7,
DE,1,107101,2,2,6,
DE,1,107113,7,7,6,
DE,1,107125,5,5,4,
DE,1,107214,7,6,8,
DE,1,107220,7,5,4,
DE,1,107226,7,7,6,
DE,1,107232,6,2,4,
DE,1,107303,10,5,8,
DE,1,107309,5,3,5,
DE,1,107315,8,7,8,
DE,1,107404,10,6,6,
DE,1,107434,6,5,2,
DE,1,107505,2,2,4,
DE,1,107523,7,8,8,
DE,1,107529,7,6,8,
DE,1,108103,3,1,1,
DE,1,108115,4,3,6,
DE,1,108204,0,0,0,
DE,1,108210,4,4,4,
DE,1,108222,7,5,6,
DE,1,108335,2,2,3,
DE,1,108418,2,1,1,
DE,1,108424,4,4,3,
DE,1,108436,5,4,5,
DE,1,108501,5,3,5,
DE,1,108513,6,3,3,
DE,1,108525,4,3,4,
DE,1,108608,1,3,3,
DE,1,109112,0,0,0,
DE,1,109118,5,5,6,
DE,1,109124,4,3,0,
DE,1,109130,5,3,4,
DE,1,109201,3,3,7,
DE,1,109207,4,3,4,
DE,1,109213,8,6,7,
DE,1,109308,3,2,3,
DE,1,109320,2,0,0,
DE,1,109332,7,5,5,
DE,1,109403,9,8,9,
DE,1,109409,2,0,5,
DE,1,109433,8,8,8,
DE,1,109528,2,1,2,
DE,1,109605,6,5,7,
DE,1,109623,3,0,3,
DE,1,109629,6,5,4,
DE,1,110108,7,5,6,
DE,1,110132,5,1,6,
DE,1,110209,0,1,1,
DE,1,110215,5,5,6,
DE,1,110221,2,2,5,
DE,1,110304,5,8,5,
DE,1,110310,6,4,2,
DE,1,110322,5,3,3,
DE,1,110411,10,7,5,
DE,1,110423,4,3,3,
DE,1,110429,4,4,6,
DE,1,110506,3,2,3,
DE,1,110512,3,5,5,
DE,1,110518,3,2,1,
DE,1,110524,8,7,7,
DE,1,110530,4,3,5,
DE,1,110536,5,5,8,
DE,1,110601,7,2,1,
DE,1,110607,4,3,2,
DE,1,110631,5,3,0,
DE,1,111104,2,2,4,
DE,1,111116,5,5,5,
DE,1,111128,6,5,6,
DE,1,111205,5,5,4,
DE,1,111217,0,10,5,
DE,1,111229,7,4,3,
DE,1,111306,8,8,7,
DE,1,111312,7,6,4,
DE,1,111318,0,0,0,
DE,1,111324,7,7,5,
DE,1,111401,6,5,6,
DE,1,111407,5,5,4,
DE,1,111419,5,3,2,
DE,1,111425,5,4,3,
DE,1,111508,10,5,10,
DE,1,111514,2,3,2,
DE,1,111520,2,3,3,
DE,1,111603,5,5,8,
DE,1,111609,5,4,4,
DE,1,111615,2,1,4,
DE,1,111621,6,3,1,
DE,1,112106,3,2,5,
DE,1,112112,2,2,2,
DE,1,112118,5,3,2,
DE,1,112130,6,5,5,
DE,1,112201,5,3,5,
DE,1,112219,4,3,3,
DE,1,112231,9,7,8,
DE,1,112308,5,2,5,
DE,1,112314,4,4,4,
DE,1,112320,2,2,2,
DE,1,112403,4,3,7,
DE,1,112415,8,8,8,
DE,1,112421,8,7,7,
DE,1,112427,5,6,5,
DE,1,112510,8,7,7,
DE,1,112528,7,5,5,
DE,1,112534,9,5,9,
DE,1,112605,3,1,2,
DE,1,112611,7,3,5,
DE,1,112617,5,4,4,
DE,1,112623,5,0,2,
DE,1,112629,7,7,6,
DE,1,112635,4,5,5,
DE,1,113109,5,5,3,
DE,1,113222,2,1,1,
DE,1,113311,5,5,5,
DE,1,113317,5,3,2,
DE,1,113323,10,10,10,
DE,1,113412,3,3,3,
DE,1,113418,2,5,0,
DE,1,113507,5,4,3,
DE,1,113513,5,4,4,
DE,1,113519,3,0,2,
DE,1,113608,4,3,3,
DE,1,113614,0,0,0,
DE,1,113620,0,5,5,
DE,1,114136,5,7,6,
DE,1,114201,3,2,4,
DE,1,114207,5,1,2,
DE,1,114219,5,4,5,
DE,1,114225,7,6,6,
DE,1,114302,4,3,5,
DE,1,114314,6,5,7,
DE,1,114326,3,3,5,
DE,1,114409,4,4,5,
DE,1,114415,4,3,3,
DE,1,114427,4,4,5,
DE,1,114504,5,2,2,
DE,1,114510,3,1,8,
DE,1,114516,5,2,2,
DE,1,114522,8,6,6,
DE,1,114528,5,2,2,
DE,1,114534,3,3,5,
DE,1,114611,3,1,3,
DE,1,114617,7,7,8,
DE,1,114623,6,3,3,
DE,1,114629,10,4,4,
DE,1,115114,6,6,6,
DE,1,115120,2,0,0,
DE,1,115126,8,7,6,
DE,1,115209,4,0,0,
DE,1,115215,6,6,5,
DE,1,115221,3,2,5,
DE,1,115227,8,5,6,
DE,1,115304,6,4,3,
DE,1,115322,0,0,4,
DE,1,115328,5,0,0,
DE,1,115417,5,0,0,
DE,1,115429,2,0,1,
DE,1,115512,5,5,4,
DE,1,115518,6,5,7,
DE,1,115524,5,5,7,
DE,1,115601,9,5,0,
DE,1,115607,5,0,3,
DE,1,115613,6,5,7,
DE,1,116110,4,2,1,
DE,1,116116,2,4,3,
DE,1,116122,3,3,5,
DE,1,116211,2,3,3,
DE,1,116223,5,5,8,
DE,1,116229,3,2,6,
DE,1,116235,8,7,8,
DE,1,116306,6,3,5,
DE,1,116312,6,6,7,
DE,1,116324,7,6,7,
DE,1,116330,6,5,5,
DE,1,116401,5,5,2,
DE,1,116407,6,1,1,
DE,1,116413,6,7,6,
DE,1,116419,5,2,4,
DE,1,116508,4,4,5,
DE,1,116520,6,4,6,
DE,1,116532,7,6,5,
DE,1,116603,5,6,5,
DE,1,116609,4,4,4,
DE,1,116627,1,1,2,
DE,1,116633,5,5,7,
DE,1,117106,4,3,5,
DE,1,117118,4,5,7,
DE,1,117124,2,1,3,
DE,1,117130,6,5,7,
DE,1,117201,6,2,5,
DE,1,117213,5,3,4,
DE,1,117231,6,4,2,
DE,1,117308,6,5,7,
DE,1,117320,5,5,5,
DE,1,117326,6,3,5,
DE,1,117332,4,2,1,
DE,1,117415,6,6,5,
DE,1,117427,10,8,8,
DE,1,117522,5,4,7,
DE,1,117623,2,0,0,
DE,1,118102,5,3,4,
DE,1,118108,8,5,5,
DE,1,118203,8,5,7,
DE,1,118209,5,4,4,
DE,1,118215,5,5,5,
DE,1,118221,3,3,3,
DE,1,118316,4,4,6,
DE,1,118328,6,4,5,
DE,1,118417,5,4,8,
DE,1,118423,5,3,6,
DE,1,118429,5,3,4,
DE,1,118506,5,3,4,
DE,1,118512,5,4,5,
DE,1,118613,3,3,4,
DE,1,118619,5,4,5,
DE,1,118625,5,4,4,
DE,1,119104,3,2,2,
DE,1,119110,7,6,5,
DE,1,119122,4,5,5,
DE,1,119128,7,3,4,
DE,1,119134,1,4,2,
DE,1,119205,3,2,4,
DE,1,119217,8,5,3,
DE,1,119223,2,5,5,
DE,1,119235,5,3,4,
DE,1,119306,5,5,5,
DE,1,119312,8,7,7,
DE,1,119318,3,2,3,
DE,1,119324,5,4,3,
DE,1,119401,5,5,5,
DE,1,119425,8,6,7,
DE,1,119514,10,7,5,
DE,1,119520,0,2,3,
DE,1,119532,6,3,3,
DE,1,119603,2,2,9,
DE,1,119609,1,0,0,
DE,1,119615,3,2,1,
DE,1,119627,5,4,5,
DE,1,119633,2,2,2,
DE,1,120112,2,3,6,
DE,1,120118,3,2,2,
DE,1,120302,5,3,7,
DE,1,120308,5,5,5,
DE,1,120314,5,5,8,
DE,1,120320,10,7,5,
DE,1,120403,2,1,5,
DE,1,120522,3,3,3,
DE,1,120617,8,5,5,
DE,1,121113,4,4,4,
DE,1,121125,4,6,3,
DE,1,121214,0,0,1,
DE,1,121220,5,5,5,
DE,1,121226,6,5,3,
DE,1,121232,3,2,2,
DE,1,121309,5,3,8,
DE,1,121315,4,3,4,
DE,1,121321,7,8,8,
DE,1,121327,8,6,6,
DE,1,121410,7,2,3,
DE,1,121434,3,4,1,
DE,1,121505,8,6,8,
DE,1,121517,8,6,3,
DE,1,121529,1,1,2,
DE,1,121612,1,0,3,
DE,1,121618,3,2,3,
DE,1,122103,5,3,10,
DE,1,122109,6,6,8,
DE,1,122127,5,2,5,
DE,1,122228,6,7,5,
DE,1,122234,0,0,0,
DE,1,122305,5,6,7,
DE,1,122406,3,6,6,
DE,1,122412,10,5,10,
DE,1,122525,0,0,0,
DE,1,122608,6,4,3,
DE,1,122614,6,6,5,
DE,1,123105,2,0,7,
DE,1,123117,3,0,5,
DE,1,123301,2,0,6,
DE,1,123307,5,3,4,
DE,1,123313,6,5,5,
DE,1,123408,3,0,0,
DE,1,123426,5,1,1,
DE,1,123610,6,5,7,
DE,1,123616,4,6,7,
DE,1,123622,7,6,5,
DE,1,123634,5,5,5,
DE,1,124101,5,5,2,
DE,1,124113,5,4,7,
DE,1,124119,3,4,0,
DE,1,124202,5,0,5,
DE,1,124214,0,0,0,
DE,1,124220,5,4,5,
DE,1,124226,6,3,5,
DE,1,124410,10,6,4,
DE,1,124422,0,6,5,
DE,1,124428,0,0,0,
DE,1,124529,7,7,6,
DE,1,124606,5,2,4,
DE,1,124612,0,1,1,
DE,1,124618,3,4,4,
DE,1,124630,7,4,7,
DE,1,125109,4,3,5,
DE,1,125115,1,0,0,
DE,1,125127,3,3,3,
DE,1,125204,4,3,3,
DE,1,125210,5,2,2,
DE,1,125216,5,2,5,
DE,1,125222,0,0,0,
DE,1,125305,2,2,2,
DE,1,125317,3,3,3,
DE,1,125329,5,2,3,
DE,1,125335,4,5,5,
DE,1,125412,4,4,4,
DE,1,125418,3,2,3,
DE,1,125424,6,6,5,
DE,1,125436,8,7,6,
DE,1,125501,3,3,3,
DE,1,125507,3,2,3,
DE,1,125513,4,3,5,
DE,1,125525,5,2,2,
DE,1,125531,3,4,7,
DE,1,125602,5,4,3,
DE,1,125608,4,2,4,
DE,1,125614,6,6,5,
DE,1,125626,4,4,1,
DE,1,126123,3,3,6,
DE,1,126129,1,1,2,
DE,1,126135,0,0,1,
DE,1,126230,7,4,5,
DE,1,126307,5,3,7,
DE,1,126319,5,1,0,
DE,1,126325,6,4,5,
DE,1,126402,0,0,3,
DE,1,126408,5,7,5,
DE,1,126509,0,0,5,
DE,1,126533,7,6,8,
DE,1,126628,3,2,4,
DE,1,126634,8,6,6,
DE,1,127101,6,4,7,
DE,1,127113,6,4,7,
DE,1,127125,2,0,10,
DE,1,127202,4,3,5,
DE,1,127220,5,2,4,
DE,1,127232,5,0,4,
DE,1,127303,2,0,1,
DE,1,127309,8,5,8,
DE,1,127315,0,0,2,
DE,1,127321,2,0,5,
DE,1,127327,8,5,6,
DE,1,127404,4,3,5,
DE,1,127410,7,6,8,
DE,1,127422,1,1,6,
DE,1,127511,7,5,6,
DE,1,127606,0,0,0,
DE,1,127612,3,3,3,
DE,1,127630,4,4,4,
DE,1,128109,5,3,5,
DE,1,128115,6,3,4,
DE,1,128121,0,0,1,
DE,1,128133,4,5,4,
DE,1,128204,7,5,4,
DE,1,128216,3,3,3,
DE,1,128222,3,3,3,
DE,1,128234,4,2,5,
DE,1,128317,4,5,6,
DE,1,128406,8,3,7,
DE,1,128412,3,3,5,
DE,1,128418,5,5,5,
DE,1,128424,5,6,7,
DE,1,128430,4,3,5,
DE,1,128507,5,3,5,
DE,1,128519,6,5,6,
DE,1,128531,5,5,5,
DE,1,128608,6,3,3,
DE,1,128620,4,3,3,
DE,1,129117,6,5,5,
DE,1,129206,1,4,6,
DE,1,129212,5,8,6,
DE,1,129224,6,4,5,
DE,1,129313,6,2,0,
DE,1,129319,4,2,2,
DE,1,129331,5,2,5,
DE,1,129420,8,5,7,
DE,1,129426,4,2,6,
DE,1,129432,10,8,9,
DE,1,129503,6,5,7,
DE,1,129509,4,7,5,
DE,1,129515,0,9,5,
DE,1,129527,5,2,4,
DE,1,129533,5,3,5,
DE,1,129604,4,4,7,
DE,1,129610,10,10,10,
DE,1,129622,4,3,4,
DE,1,129628,4,2,4,
DE,1,130125,6,5,5,
DE,1,130202,6,6,6,
DE,1,130208,5,5,6,
DE,1,130214,4,3,5,
DE,1,130220,9,7,5,
DE,1,130226,7,5,4,
DE,1,130303,7,3,5,
DE,1,130327,5,5,5,
DE,1,130416,6,5,7,
DE,1,130422,3,2,5,
DE,1,130511,2,2,2,
DE,1,130523,8,8,7,
DE,1,130529,3,4,2,
DE,1,130535,7,4,5,
DE,1,130606,3,3,3,
DE,1,130612,7,3,4,
DE,1,130624,7,5,3,
DE,1,130630,5,4,6,
DE,1,131101,6,0,4,
DE,1,131113,1,0,0,
DE,1,131125,7,3,5,
DE,1,131131,2,0,1,
DE,1,131208,4,4,2,
DE,1,131214,6,6,6,
DE,1,131232,4,2,2,
DE,1,131315,9,7,9,
DE,1,131321,2,0,0,
DE,1,131327,8,6,8,
DE,1,131404,4,4,6,
DE,1,131422,1,1,1,
DE,1,131428,7,6,7,
DE,1,131434,4,2,3,
DE,1,131505,6,6,7,
DE,1,131606,2,1,5,
DE,1,131612,5,4,5,
DE,1,131624,1,2,1,
DE,1,132109,7,7,8,
DE,1,132121,0,0,0,
DE,1,132222,5,4,7,
DE,1,132228,7,4,5,
DE,1,132234,3,0,3,
DE,1,132311,5,3,3,
DE,1,132317,2,0,3,
DE,1,132329,7,2,0,
DE,1,132335,6,4,8,
DE,1,132418,5,3,5,
DE,1,132424,4,3,3,
DE,1,132430,3,2,2,
DE,1,132513,6,5,4,
DE,1,132519,4,2,4,
DE,1,132602,0,0,0,
DE,1,132614,3,2,1,
DE,1,133111,7,7,8,
DE,1,133224,8,3,8,
DE,1,133230,9,7,10,
DE,1,133325,3,2,3,
DE,1,133402,4,5,6,
DE,1,133503,8,6,7,
DE,1,133509,2,2,2,
DE,1,133533,6,4,8,
DE,1,133610,5,6,8,
DE,1,133616,4,3,5,
DE,1,133628,4,4,4,
DE,1,134107,3,3,3,
DE,1,134131,4,4,6,
DE,1,134303,6,6,8,
DE,1,134309,5,3,5,
DE,1,134321,3,3,4,
DE,1,134327,9,8,9,
DE,1,134333,2,2,4,
DE,1,134428,2,2,5,
DE,1,134517,6,7,7,
DE,1,134529,3,4,6,
DE,1,134612,5,5,4,
DE,1,134618,8,7,8,
DE,1,134624,6,5,6,
DE,1,134630,4,4,6,
DE,1,135103,6,3,5,
DE,1,135109,2,2,6,
DE,1,135127,0,2,1,
DE,1,135204,8,5,6,
DE,1,135222,10,10,5,
DE,1,135228,10,5,5,
DE,1,135519,2,3,3,
DE,1,135525,3,4,3,
DE,1,136111,5,0,0,
DE,1,136117,5,5,3,
DE,1,136135,7,4,7,
DE,1,136212,3,4,3,
DE,1,136224,6,5,6,
DE,1,136230,8,7,6,
DE,1,136319,6,2,3,
DE,1,136331,5,5,5,
DE,1,136402,2,5,5,
DE,1,136521,3,6,2,
DE,1,136527,6,3,4,
DE,1,136604,7,7,8,
DE,1,136610,6,5,7,
DE,1,136622,6,3,3,
DE,1,137107,6,2,5,
DE,1,137113,0,0,4,
DE,1,137119,8,4,4,
DE,1,137202,5,4,7,
DE,1,137208,5,5,5,
DE,1,137214,5,2,4,
DE,1,137220,2,0,1,
DE,1,137303,6,2,5,
DE,1,137309,7,4,7,
DE,1,137315,0,1,0,
DE,1,137321,8,5,7,
DE,1,137410,5,4,3,
DE,1,137422,6,5,5,
DE,1,137428,7,4,7,
DE,1,137434,8,5,6,
DE,1,137505,9,5,4,
DE,1,137517,2,0,2,
DE,1,137523,6,5,7,
DE,1,137535,7,3,5,
DE,1,137606,6,2,4,
DE,1,137612,6,4,6,
DE,1,137618,4,2,4,
DE,1,137630,2,3,5,
DE,1,138121,5,4,5,
DE,1,138127,5,4,5,
DE,1,138204,4,4,5,
DE,1,138210,3,3,2,
DE,1,138228,6,4,5,
DE,1,138412,2,5,2,
DE,1,138501,5,3,3,
DE,1,138513,8,5,7,
DE,1,138614,3,2,2,
DE,1,139102,5,4,4,
DE,1,139114,6,4,6,
DE,1,139120,5,3,5,
DE,1,139126,6,5,5,
DE,1,139132,5,5,5,
DE,1,139209,7,3,8,
DE,1,139233,3,2,0,
DE,1,139304,5,1,5,
DE,1,139316,2,1,3,
DE,1,139322,5,3,5,
DE,1,139405,7,3,6,
DE,1,139411,6,4,6,
DE,1,139417,6,4,5,
