round,vote,trust,idno
1,1,0,218
1,1,1,150
1,1,2,321
1,1,3,438
1,1,4,349
1,1,5,412
1,1,6,207
1,1,7,108
1,1,8,46
1,1,9,6
1,1,10,6
1,2,0,116
1,2,1,41
1,2,2,60
1,2,3,60
1,2,4,37
1,2,5,61
1,2,6,18
1,2,7,9
1,2,8,5
1,2,9,1
1,2,10,1
1,3,0,18
1,3,1,15
1,3,2,41
1,3,3,30
1,3,4,34
1,3,5,44
1,3,6,21
1,3,7,17
1,3,8,4
1,3,10,4
2,1,0,254
2,1,1,167
2,1,2,335
2,1,3,384
2,1,4,283
2,1,5,331
2,1,6,168
2,1,7,91
2,1,8,36
2,1,9,7
2,1,10,6
2,2,0,150
2,2,1,48
2,2,2,78
2,2,3,81
2,2,4,43
2,2,5,58
2,2,6,15
2,2,7,11
2,2,8,8
2,2,9,7
2,2,10,2
2,3,0,25
2,3,1,19
2,3,2,43
2,3,3,48
2,3,4,37
2,3,5,54
2,3,6,27
2,3,7,14
2,3,8,7
2,3,9,1
3,1,0,288
3,1,1,175
3,1,2,283
3,1,3,413
3,1,4,293
3,1,5,322
3,1,6,179
3,1,7,103
3,1,8,46
3,1,9,7
3,1,10,1
3,2,0,148
3,2,1,70
3,2,2,85
3,2,3,63
3,2,4,54
3,2,5,60
3,2,6,44
3,2,7,20
3,2,8,4
3,2,9,1
3,2,10,2
3,3,0,22
3,3,1,13
3,3,2,22
3,3,3,41
3,3,4,27
3,3,5,31
3,3,6,17
3,3,7,6
3,3,8,6
3,3,9,3
3,3,10,1
4,1,0,190
4,1,1,135
4,1,2,281
4,1,3,396
4,1,4,326
4,1,5,405
4,1,6,173
4,1,7,101
4,1,8,49
4,1,9,4
4,1,10,6
4,2,0,115
4,2,1,34
4,2,2,74
4,2,3,64
4,2,4,50
4,2,5,54
4,2,6,19
4,2,7,13
4,2,8,7
4,2,9,1
4,2,10,2
4,3,0,15
4,3,1,12
4,3,2,27
4,3,3,24
4,3,4,34
4,3,5,60
4,3,6,22
4,3,7,15
4,3,8,4
4,3,10,3
5,1,0,265
5,1,1,189
5,1,2,343
5,1,3,417
5,1,4,295
5,1,5,369
5,1,6,164
5,1,7,96
5,1,8,43
5,1,9,6
5,1,10,14
5,2,0,132
5,2,1,64
5,2,2,69
5,2,3,76
5,2,4,55
5,2,5,69
5,2,6,18
5,2,7,10
5,2,8,5
5,2,9,1
5,2,10,5
5,3,0,22
5,3,1,13
5,3,2,23
5,3,3,31
5,3,4,41
5,3,5,79
5,3,6,33
5,3,7,22
5,3,8,11
5,3,9,2
5,3,10,4
6,1,0,163
6,1,1,134
6,1,2,253
6,1,3,415
6,1,4,305
6,1,5,447
6,1,6,228
6,1,7,154
6,1,8,43
6,1,9,3
6,1,10,2
6,2,0,90
6,2,1,46
6,2,2,72
6,2,3,89
6,2,4,49
6,2,5,82
6,2,6,20
6,2,7,13
6,2,8,8
6,2,9,1
6,2,10,2
6,3,0,20
6,3,1,9
6,3,2,30
6,3,3,36
6,3,4,46
6,3,5,74
6,3,6,50
6,3,7,33
6,3,8,12
6,3,9,1
6,3,10,2
7,1,0,204
7,1,1,146
7,1,2,251
7,1,3,374
7,1,4,345
7,1,5,450
7,1,6,296
7,1,7,192
7,1,8,68
7,1,9,5
7,1,10,5
7,2,0,87
7,2,1,42
7,2,2,64
7,2,3,78
7,2,4,55
7,2,5,72
7,2,6,30
7,2,7,20
7,2,8,7
7,2,9,2
7,2,10,2
7,3,0,17
7,3,1,9
7,3,2,15
7,3,3,29
7,3,4,28
7,3,5,45
7,3,6,38
7,3,7,23
7,3,8,13
7,3,9,2
7,3,10,6
8,1,0,167
8,1,1,107
8,1,2,213
8,1,3,311
8,1,4,320
8,1,5,433
8,1,6,269
8,1,7,194
8,1,8,71
8,1,9,11
8,1,10,9
8,2,0,72
8,2,1,36
8,2,2,52
8,2,3,56
8,2,4,43
8,2,5,56
8,2,6,22
8,2,7,16
8,2,8,10
8,2,9,6
8,3,0,19
8,3,1,3
8,3,2,16
8,3,3,41
8,3,4,36
8,3,5,82
8,3,6,69
8,3,7,35
8,3,8,38
8,3,9,4
8,3,10,6
